Images: 2, 3
[225.041, 75.9876] -> [225.046, 76.0134]
[208.999, 114.936] -> [208.983, 114.922]
[50.9532, 102.877] -> [50.916, 102.892]
[57.9368, 124.827] -> [57.9346, 124.824]
[258.959, 111.004] -> [258.967, 111.057]
[91.9717, 102.864] -> [91.9763, 102.848]
[92.9482, 123.869] -> [92.9535, 123.833]
[27.7689, 157.78] -> [27.7516, 157.694]
[82.8205, 154.833] -> [82.9571, 154.932]
[56.9681, 91.9047] -> [56.9459, 91.8842]
[253.029, 65.9776] -> [253.076, 66.0077]
[293.827, 226.874] -> [293.848, 227.278]
[92.9515, 137.791] -> [92.9538, 137.761]
[253.026, 79.9984] -> [253.072, 80.0169]
[113.539, 144.523] -> [113.308, 144.799]
[100.969, 83.8956] -> [100.99, 83.8996]
[260.786, 170.883] -> [260.89, 170.791]
[267.991, 102.968] -> [268.006, 103.027]
[98.9911, 115.875] -> [99.0033, 115.86]
[267.952, 121.979] -> [267.936, 121.958]
[58.8331, 136.8] -> [58.8687, 136.741]
[251.987, 101.972] -> [252.005, 102.022]
[50.9198, 115.856] -> [50.8853, 115.841]
[234.978, 136.976] -> [234.977, 136.958]
[72.9508, 126.85] -> [72.9926, 126.836]
[230.989, 121.005] -> [230.989, 121.007]
[156.707, 147.978] -> [156.77, 147.734]
[36.855, 137.672] -> [36.8545, 137.436]
[264.025, 76.0126] -> [264.054, 76.0155]
[278.593, 217.688] -> [278.66, 218.284]
[210.986, 124.962] -> [210.954, 124.868]
[71.8702, 142.764] -> [71.8521, 142.73]
[94.0552, 147.821] -> [93.9852, 147.991]
[280.624, 235.884] -> [280.844, 236.225]
[186.956, 152.016] -> [186.594, 151.535]
[265.913, 180.908] -> [265.894, 180.82]
[268.762, 199.791] -> [268.626, 199.676]
[174.004, 142.949] -> [174.045, 142.743]
[60.8606, 150.671] -> [60.9238, 150.708]
[70.0158, 72.8825] -> [70.0233, 72.8526]
[53.0029, 79.885] -> [53.0103, 79.8485]
[47.8712, 130.739] -> [47.8394, 130.679]
[37.8799, 127.655] -> [37.8263, 127.619]
[49.8849, 155.807] -> [49.876, 155.676]
[163.761, 157.847] -> [163.425, 157.781]
[146.562, 154.85] -> [146.793, 154.757]
[223.006, 98.0129] -> [222.998, 97.9918]
[274.895, 158.163] -> [274.809, 158.025]
[285.774, 197.752] -> [285.792, 197.915]
[272.916, 132.009] -> [272.897, 131.924]
[257.989, 93.9933] -> [258.016, 94.0124]
[267.877, 145.035] -> [267.836, 145.014]
[248.961, 112.002] -> [248.957, 112.042]
[68.0542, 162.668] -> [67.8715, 162.766]
[253.823, 156.032] -> [254.128, 155.847]
[45.7708, 180.714] -> [45.6421, 181.021]
[68.972, 103.87] -> [68.975, 103.843]
[249.783, 165.992] -> [250.251, 165.917]
[39.8778, 154.709] -> [39.871, 154.586]
[196.959, 133.963] -> [197.032, 133.767]
[137.632, 147.811] -> [137.374, 147.753]
[157.908, 132.987] -> [157.973, 132.751]
[212.887, 149.975] -> [213.665, 149.819]
[47.857, 143.639] -> [47.851, 143.491]
[1.94692, 230.895] -> [1.95579, 230.883]
[129.974, 119.912] -> [129.991, 119.904]
[281.946, 270.945] -> [281.954, 270.996]
[66.9952, 93.9084] -> [66.9869, 93.8428]
[217.033, 69.9867] -> [217.02, 70.0257]
[238.845, 159.978] -> [239.281, 159.941]
[27.6938, 203.526] -> [27.5698, 203.739]
[131.52, 168.19] -> [130.63, 168.595]
[176.822, 154.953] -> [176.265, 154.685]
[35.7136, 187.637] -> [35.3471, 188.455]
[185.013, 138.956] -> [185.046, 138.768]
[298.851, 216.939] -> [298.862, 217.353]
[2.11039, 253.964] -> [2.12114, 253.892]
[45.9837, 165.646] -> [45.9002, 165.702]
[32.7564, 167.725] -> [32.6165, 167.962]
[227.026, 145.019] -> [227.002, 144.912]
[303.855, 244.999] -> [303.903, 245.206]
[146.949, 275.897] -> [146.861, 276]
[281.809, 258.027] -> [281.815, 258.159]
[295.591, 193.52] -> [295.833, 194.138]
[307.984, 222.005] -> [308.073, 222.472]
[188.977, 162.146] -> [188.477, 161.62]


Images: 8, 9
[194.985, 105.923] -> [195.016, 106.016]
[267.039, 87.0119] -> [267.083, 87.0175]
[234.07, 67.0017] -> [233.998, 66.978]
[194.983, 117.893] -> [194.959, 118.009]
[109.991, 115.899] -> [110.044, 115.928]
[277.814, 189.716] -> [277.827, 189.615]
[83.9825, 87.8534] -> [84.0117, 87.8317]
[87.9878, 64.8559] -> [87.9925, 64.858]
[101.992, 128.853] -> [101.994, 128.707]
[242.071, 59.0086] -> [242.032, 58.9629]
[291.808, 207.177] -> [291.742, 206.839]
[106.997, 103.885] -> [107.061, 103.961]
[103.992, 93.8902] -> [104.003, 93.9432]
[70.9663, 116.846] -> [70.9778, 116.767]
[217.996, 88.9986] -> [217.956, 89.0025]
[111.997, 85.907] -> [111.979, 85.9473]
[60.0302, 70.8438] -> [59.9707, 70.835]
[256.943, 143.927] -> [256.924, 144.11]
[231.031, 88.989] -> [231.009, 89.0503]
[252.942, 127.982] -> [253.38, 128.309]
[80.9655, 99.8241] -> [80.9704, 99.7406]
[183.035, 127.737] -> [183.045, 127.611]
[240.971, 119.999] -> [240.873, 120.296]
[80.9013, 133.77] -> [80.9362, 133.691]
[113.017, 128.833] -> [113.121, 128.634]
